movieId,title
110,Toy Story
147,Jumanji
858,Grumpier Old Men
1221,Waiting to Exhale
1246,Father of the Bride Part II
1968,Heat
2762,Sabrina
2918,Tom and Huck
2959,Sudden Death
4226,GoldenEye
4878,The American President
5577,Dracula: Dead and Loving It
33794,Balto
54503,Nixon
58559,Cutthroat Island
59315,Casino
68358,Sense and Sensibility
69844,Four Rooms
73017,Ace Ventura: When Nature Calls
81834,Money Train
91500,Get Shorty
91542,Copycat
92439,Assassins
96821,Powder
98809,Leaving Las Vegas
99114,Othello
112552,Now and Then
5,Persuasion
25,The City of Lost Children
32,Shanghai Triad
58,Dangerous Minds
64,Twelve Monkeys
79,Wings of Courage
141,Babe
260,Carrington
339,Dead Man Walking
377,Across the Sea of Time
605,It Takes Two
628,Clueless
648,"Cry, the Beloved Country"
762,Richard III
780,Dead Presidents
786,Restoration
788,Mortal Kombat
1210,To Die For
1233,How To Make An American Quilt
1356,Se7en
1475,Pocahontas
1552,When Night Is Falling
480,The Usual Suspects
500,Guardian Angel
527,Mighty Aphrodite
858,Lamerica
1092,The Big Green
1097,Georgia
1270,Kids of the Round Table
1968,Home for the Holidays
3101,The Postman
4474,The Confessional
223,The Indian in the Cupboard
415,Eye for an Eye
648,Mr. Holland's Opus
1097,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
1197,Two If by Sea
1210,Bio-Dome
1221,Lawnmower Man 2: Beyond Cyberspace
1422,Two Bits
1431,French Twist
1597,Friday
1617,From Dusk Till Dawn
1644,Fair Game
1645,Kicking and Screaming
1732,Les Miserables
1909,Bed of Roses
1911,Big Bully
2023,Screamers
2338,Nico Icon
2355,The Crossing Guard
2396,The Juror
2443,The White Balloon
2541,Things to Do in Denver When You're Dead
2581,Antonia's Line
2683,Once Upon a Time... When We Were Colored
2692,Last Summer in the Hamptons
2694,Angels and Insects
2706,White Squall
2710,Dunston Checks In
2712,Black Sheep
2716,Nick of Time
2762,The Journey of August King
2763,Mary Reilly
2805,Vampire in Brooklyn
2875,Beautiful Girls
2881,Broken Arrow
2987,A Midwinter's Tale
3004,La Haine
3005,Shopping
3114,Heidi Fleiss: Hollywood Madam
3160,City Hall
3203,Bottle Rocket
3285,Mr. Wrong
3298,Unforgettable
3408,Happy Gilmore
3409,The Bridges of Madison County
3476,Nobody Loves Me
3578,Muppet Treasure Island
3623,Catwalk
3751,Headless Body in Topless Bar
3752,Braveheart
3753,Taxi Driver
3798,Rumble in the Bronx
3908,Before and After
3909,Margaret's Museum
3977,Happiness Is in the Field
4014,Anne Frank Remembered
4084,The Young Poisoner's Handbook
4226,If Lucy Fell
4238,Steal Big Steal Little
4848,Race the Sun
4896,The Boys of St. Vincent
5679,Boomerang
7,Chungking Express
157,The Star Maker
296,Flirting with Disaster
541,The Neverending Story III: Escape from Fantasia
750,The Silences of the Palace
858,Jupiter's Wife
908,Pie in the Sky
1193,Angela
1198,Frankie Starlight
1201,Jade
1204,Nueba Yol
1225,Sonic Outlaws
1230,Down Periscope
1254,From the Journals of Jean Seberg
1263,Man of the Year
1270,The Neon Bible
1302,Target
1945,Up Close & Personal
2163,The Birdcage
2707,Virgin Mary
2877,The Brothers McMullen
3079,Bad Boys
3114,The Amazing Panda Adventure
3156,The Basketball Diaries
3198,An Awfully Big Adventure
3255,Amateur
11,Apollo 13
1198,Rob Roy
2565,The Addiction
2628,Batman Forever
293,Belle de Jour
318,Beyond Rangoon
2571,Blue in the Face
2858,Canadian Bacon
2959,Casper
3535,Clockers
3948,Congo
4022,Crimson Tide
4306,Crumb
4896,Desperado
4993,Devil in a Blue Dress
5618,Die Hard: With a Vengeance
5810,The Doom Generation
5816,Feast of July
6377,First Knight
6934,Free Willy 2 - The Adventure Home
7153,Hackers
8368,Jeffrey
8533,Johnny Mnemonic
8961,Judge Dredd
30793,Jury Duty
33794,Kids
35836,Living in Oblivion
39183,Lord of Illusions
40815,Love & Human Remains
41566,Mad Love
50872,Mallrats
51255,Mighty Morphin Power Rangers: The Movie
54001,Moonlight and Valentino
54272,Mute Witness
54503,Nadja
55247,The Net
58559,Nine Months
60074,Party Girl
63082,The Prophecy
68954,Reckless
69844,Safe
72378,The Scarlet Letter
79132,The Show
80463,Showgirls
81834,Smoke
88125,Something to Talk About
88129,Species
88744,The Stars Fell on Henrietta
89745,Strange Days
91529,The Umbrellas of Cherbourg
98809,The Tie That Binds
99114,Three Wishes
106489,Total Eclipse
106920,"To Wong Foo, Thanks for Everything! Julie Newmar"
116797,Under Siege 2: Dark Territory
122904,Unstrung Heroes
134853,Unzipped
1,A Walk in the Clouds
7,Waterworld
44,White Man's Burden
47,Wild Bill
170,The Browning Version
208,Bushwhacked
318,Burnt by the Sun
420,Before the Rain
553,Before Sunrise
585,Billy Madison
647,The Babysitter
653,Boys on the Side
784,The Cure
832,Castle Freak
852,Circle of Friends
912,Clerks
968,Don Juan DeMarco
1037,Disclosure
1210,Dream Man
1211,Drop Zone
1228,Destiny Turns on the Radio
1265,Death and the Maiden
1266,Dolores Claiborne
1287,Dumb and Dumber
1292,Eat Drink Man Woman
1304,Exotica
1339,Exit to Eden
1343,Ed Wood
1404,French Kiss
1405,Forget Paris
1499,Far from Home: The Adventures of Yellow Dog
1591,A Goofy Movie
1626,Hideaway
1653,Fluke
1792,Farinelli
1837,Gordy
1876,Gumby: The Movie
1882,The Glass Shield
1965,Hoop Dreams
1968,Heavenly Creatures
2019,Houseguest
2022,Immortal Beloved
2110,Heavyweights
2193,The Hunted
2240,I.Q.
2300,Interview with the Vampire
2313,Jefferson in Paris
2334,The Jerky Boys
2416,Junior
2469,Just Cause
2474,A Kid in King Arthur's Court
2571,Kiss of Death
2596,Star Wars
2600,Little Women
2670,A Little Princess
2762,Ladybird Ladybird
2919,L'Enfer
2985,Like Water for Chocolate
3016,Legends of the Fall
3036,Major Payne
3082,Little Odessa
3091,Mi Vida Loca
3107,Love Affair
3146,Losing Isaiah
3147,The Madness of King George
3175,Mary Shelley's Frankenstein
3197,Man of the House
3203,Mixed Nuts
3354,Milk Money
3359,Miracle on 34th Street
3527,Miami Rhapsody
3634,My Family
3660,Murder in the First
3671,Nobody's Fool
3679,Nell
3785,New Jersey Drive
3841,New York Cop
3868,Beyond Bedlam
3986,Nemesis 2 - Nebula
4084,Nina Takes a Lover
4085,Natural Born Killers
4291,Only You
4361,Once Were Warriors
4366,Poison Ivy II: Lily
4367,Outbreak
4443,Leon: The Professional
4466,The Perez Family
4541,A Pyromaniac's Love Story
4563,Pulp Fiction
4571,Panther
4638,Pushing Hands
4643,Priest
4654,Quiz Show
4681,Picture Bride
4787,Queen Margot
4896,The Quick and the Dead
4901,Roommates
4954,Prêt-à-Porter
4956,Three Colors: Red
4963,Three Colors: Blue
4971,Three Colors: White
4979,"Red Firecracker, Green Firecracker"
4980,Rent-a-Kid
4993,Relative Fear
5002,Stuart Saves His Family
5008,The Swan Princess
5026,The Secret of Roan Inish
5033,The Specialist
5036,Stargate
